step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
530,1.84215,0.58188,,
531,1.73641,0.57452,,
532,1.58111,0.59986,,
533,1.8555,0.55802,,
534,1.76243,0.56428,,
535,1.76432,0.56214,,
536,2.07969,0.49537,,
537,2.06294,0.49606,,
538,1.43141,0.65855,,
539,1.51453,0.64174,,
540,1.64546,0.59385,,
541,1.21233,0.70217,,
542,1.70739,0.61562,,
543,1.69077,0.56933,,
544,1.72098,0.55997,,
545,1.83201,0.55933,,
546,2.07591,0.51852,,
547,1.37835,0.66762,,
548,1.78344,0.57675,,
549,1.44667,0.6523,,
550,1.60255,0.59815,,
551,1.58584,0.59524,,
552,1.87357,0.5558,,
553,0.87604,0.78036,,
554,1.97583,0.52057,,
555,1.73606,0.58048,,
556,1.60952,0.59799,,
557,1.67182,0.57035,,
558,1.93652,0.54737,,
559,1.86446,0.56757,,
560,1.89418,0.55589,,
561,1.95337,0.53783,,
562,2.01149,0.5197,,
563,1.76396,0.57713,,
564,1.86544,0.54733,,
565,2.1559,0.48793,,
566,1.39022,0.64263,,
567,1.59377,0.61128,,
568,2.0658,0.52074,,
569,1.48427,0.63863,,
570,1.52038,0.60434,,
571,1.5057,0.62302,,
572,1.71723,0.58404,,
573,1.9714,0.55174,,
574,1.85508,0.56975,,
575,1.73057,0.57942,,
576,1.09487,0.74349,,
577,1.68976,0.59089,,
578,1.8091,0.56416,,
579,1.39645,0.64184,,
580,1.81147,0.55408,,
581,1.99872,0.52657,,
582,1.82713,0.56762,,
583,1.49381,0.61785,,
584,1.4128,0.65708,,
585,1.94595,0.53912,,
586,1.64717,0.61014,,
587,2.19886,0.50029,,
588,1.94752,0.52643,,
589,2.11069,0.50312,,
590,1.77547,0.55584,,
591,2.02009,0.51938,,
592,1.44473,0.64581,,
593,1.35038,0.65483,,
594,1.85472,0.5417,,
595,1.67935,0.57576,,
596,1.90139,0.53688,,
597,2.03133,0.53428,,
598,1.2738,0.6973,,
599,1.88969,0.52294,,
600,1.87285,0.55042,,
601,1.73746,0.57181,,
602,1.87351,0.5713,,
603,1.42766,0.65274,,
604,1.55102,0.62017,,
605,1.49929,0.65423,,
606,1.84451,0.55465,,
607,1.93068,0.52077,,
608,1.74908,0.56056,,
609,1.6785,0.59246,,
610,1.34006,0.64834,,
611,1.41551,0.65228,,
612,1.8856,0.5348,,
613,1.33442,0.69763,,
614,2.03657,0.50624,,
615,2.10957,0.50023,,
616,1.93218,0.54307,,
617,1.83081,0.55393,,
618,1.78914,0.58195,,
619,1.64605,0.57143,,
620,1.54024,0.63745,,
621,1.61556,0.60319,,
622,1.84631,0.53795,,
623,1.75994,0.5622,,
624,1.42624,0.6265,,
625,1.73376,0.58801,,
626,1.97864,0.51348,,
627,2.01411,0.51883,,
628,1.8717,0.55254,,
629,1.88214,0.55387,,
630,1.88403,0.56033,,
631,1.81765,0.55263,,
632,1.3753,0.67593,,
633,1.96998,0.51929,,
634,1.80075,0.56603,,
635,1.91926,0.54263,,
636,1.36091,0.66153,,
637,1.70723,0.58008,,
638,1.79397,0.53488,,
639,2.35623,0.47865,,
640,1.90629,0.51946,,
641,1.71601,0.57442,,
642,1.89341,0.54973,,
643,2.02039,0.51591,,
644,1.51739,0.59762,,
645,1.6146,0.60701,,
646,2.02941,0.53719,,
647,1.86568,0.54611,,
648,2.11713,0.50447,,
649,1.61347,0.59275,,
650,2.02527,0.51856,,
651,1.63037,0.60572,,
652,1.67969,0.59589,,
653,1.86928,0.52157,,
654,1.75554,0.58509,,
655,1.84626,0.52055,,
656,1.92925,0.53143,,
657,1.7186,0.56199,,
658,1.74739,0.56753,,
659,1.31722,0.66222,,
660,1.53575,0.63741,,
661,2.09299,0.49617,,
662,1.60612,0.62092,,
663,1.97565,0.52685,,
664,1.67267,0.59542,,
665,1.86397,0.54482,,
666,1.75054,0.57521,,
667,1.82863,0.53206,,
668,1.80036,0.56098,,
669,2.12698,0.4987,,
670,1.26515,0.68902,,
671,1.65544,0.59963,,
672,1.70555,0.57195,,
673,2.0532,0.52618,,
674,1.74072,0.55432,,
675,2.01524,0.54253,,
676,1.93584,0.52597,,
677,1.36197,0.65136,,
678,1.90149,0.54203,,
679,1.64963,0.6209,,
680,1.4769,0.63742,,
681,1.9208,0.54045,,
682,1.97384,0.54198,,
683,1.51005,0.61717,,
684,2.00218,0.51758,,
685,2.04561,0.52309,,
686,1.83068,0.54581,,
687,1.23209,0.685,,
688,1.77957,0.56505,,
689,1.58941,0.63925,,
690,1.83841,0.57947,,
691,1.7914,0.54923,,
692,1.42258,0.63838,,
693,1.51168,0.6308,,
694,2.03738,0.5241,,
695,1.95616,0.53701,,
696,1.8168,0.56084,,
697,1.3879,0.66176,,
698,1.90009,0.52598,,
699,1.96251,0.54159,,
700,1.95714,0.54404,,
701,1.66962,0.59474,,
702,1.66945,0.58637,,
703,1.96086,0.53567,,
704,1.63922,0.59122,,
705,1.75224,0.56656,,
706,1.98512,0.52134,,
707,2.169,0.49913,,
708,1.56529,0.6055,,
709,1.68816,0.56537,,
710,1.6722,0.59442,,
711,1.69234,0.56373,,
